Item,Date,Price
Eggs,01/02/1988,0.9918572
Toothpaste,01/02/1988,0.4448
Bread,01/02/1988,0.5987671
Tampons,01/02/1988,0.6113077
Toothpaste,01/03/1988,0.45
Eggs,01/03/1988,0.9934615
Tampons,01/03/1988,0.6100813
Bread,01/03/1988,0.5896711
Bread,01/04/1988,0.5893711
Eggs,01/04/1988,1.009343
Tampons,01/04/1988,0.6125564
Toothpaste,01/04/1988,0.4540769
Toothpaste,01/05/1988,0.4521774
Eggs,01/05/1988,0.9965672
Tampons,01/05/1988,0.6162308
Bread,01/05/1988,0.5912903
Eggs,01/06/1988,0.9699254
Bread,01/06/1988,0.5949359
Tampons,01/06/1988,0.6167188
Toothpaste,01/06/1988,0.4617829
Eggs,01/07/1988,0.9585937
Bread,01/07/1988,0.6048428
Toothpaste,01/07/1988,0.4645968
Tampons,01/07/1988,0.6215447
Eggs,01/09/1988,0.9477953
Tampons,01/09/1988,0.63288
Toothpaste,01/09/1988,0.4683898
Bread,01/09/1988,0.6045638
Tampons,01/10/1988,0.6368217
Bread,01/10/1988,0.6100649
Toothpaste,01/10/1988,0.4784496
Eggs,01/10/1988,0.9469853
Toothpaste,01/11/1988,0.4836641
Bread,01/11/1988,0.6084967
Tampons,01/11/1988,0.6451145
Eggs,01/11/1988,0.9537795
Tampons,01/12/1988,0.6490511
Eggs,01/12/1988,0.9853846
Toothpaste,01/12/1988,0.485
Bread,01/12/1988,0.6181579
Toothpaste,01/01/1989,0.490873
Eggs,01/01/1989,0.98168
Tampons,01/01/1989,0.64752
Bread,01/01/1989,0.6269531
Bread,01/03/1989,0.62325
Tampons,01/03/1989,0.6577372
Eggs,01/03/1989,0.9350365
Toothpaste,01/03/1989,0.5018321
Bread,01/04/1989,0.620375
Eggs,01/04/1989,0.9358646
Eggs,01/05/1989,0.9465854
Bread,01/05/1989,0.622638
Toothpaste,01/05/1989,0.5142063
Tampons,01/05/1989,0.6789843
Eggs,01/06/1989,0.9482645
Bread,01/06/1989,0.6292763
Toothpaste,01/06/1989,0.5208271
Tampons,01/06/1989,0.6866412
Toothpaste,01/07/1989,0.5196063
Bread,01/07/1989,0.6451923
Tampons,01/07/1989,0.6860448
Eggs,01/07/1989,0.9506299
Tampons,01/08/1989,0.6877953
Toothpaste,01/08/1989,0.5254762
Bread,01/08/1989,0.6456494
Eggs,01/08/1989,1.873388
Eggs,01/09/1989,0.9921774
Toothpaste,01/09/1989,0.5332258
Tampons,01/09/1989,0.6921212
Bread,01/09/1989,0.6387975
Toothpaste,01/10/1989,0.5418487
Tampons,01/10/1989,0.6922835
Bread,01/10/1989,0.646859
Eggs,01/10/1989,1.053089
Eggs,01/11/1989,1.0625
Tampons,01/11/1989,0.6948438
Toothpaste,01/11/1989,0.5540945
Bread,01/11/1989,0.6485803
Bread,01/12/1989,0.6632639
Eggs,01/12/1989,1.09336
Tampons,01/12/1989,0.6967442
Toothpaste,01/12/1989,0.5569672
Eggs,01/01/1990,1.107672
Bread,01/01/1990,0.6602684
Toothpaste,01/01/1990,0.5646212
Tampons,01/01/1990,0.7009702
Tampons,01/02/1990,0.7214286
Toothpaste,01/02/1990,0.5666423
Eggs,01/02/1990,1.118194
Bread,01/02/1990,0.6590853
Tampons,01/03/1990,0.7310792
Bread,01/03/1990,0.6581818
Eggs,01/03/1990,1.093028
Toothpaste,01/03/1990,0.5754412
Bread,01/04/1990,0.6638012
Eggs,01/04/1990,1.121275
Toothpaste,01/04/1990,0.5759091
Tampons,01/04/1990,0.7416058
Eggs,01/05/1990,1.0916
Tampons,01/05/1990,0.7427008
Toothpaste,01/05/1990,0.5785821
Bread,01/05/1990,0.6610909
Bread,01/06/1990,0.6691667
Tampons,01/06/1990,0.7429578
Eggs,01/06/1990,1.099346
Toothpaste,01/06/1990,0.5852518
Tampons,01/07/1990,0.7413334
Bread,01/07/1990,0.671859
Toothpaste,01/07/1990,0.590813
Eggs,01/07/1990,1.096299
Eggs,01/08/1990,1.090833
Bread,01/08/1990,0.6775155
Tampons,01/08/1990,0.7453623
Toothpaste,01/08/1990,0.6055639
Tampons,01/09/1990,0.7692029
Bread,01/09/1990,0.6788623
Toothpaste,01/09/1990,0.6061481
Eggs,01/09/1990,1.053385
Eggs,01/10/1990,1.056172
Tampons,01/10/1990,0.7740151
Bread,01/10/1990,0.6780488
Toothpaste,01/10/1990,0.6142969
Tampons,01/11/1990,0.7793571
Toothpaste,01/11/1990,0.6293525
Bread,01/11/1990,0.6865869
Eggs,01/11/1990,1.01338
Bread,01/12/1990,0.6913018
Toothpaste,01/12/1990,0.6304444
Tampons,01/12/1990,0.7889474
Eggs,01/12/1990,1.057556
Bread,01/01/1991,0.7208334
Tampons,01/01/1991,0.7850847
Toothpaste,01/01/1991,0.6377049
Eggs,01/01/1991,1.062342
Toothpaste,01/02/1991,0.6258209
Eggs,01/02/1991,1.045926
Bread,01/02/1991,0.7204301
Tampons,01/02/1991,0.7944882
Eggs,01/03/1991,1.073217
Tampons,01/03/1991,0.7936111
Toothpaste,01/03/1991,0.6306944
Bread,01/03/1991,0.72015
Tampons,01/04/1991,0.8156
Bread,01/04/1991,0.7181643
Toothpaste,01/04/1991,0.6428788
Eggs,01/04/1991,1.024792
Eggs,01/05/1991,1.043007
Toothpaste,01/05/1991,0.6441732
Bread,01/05/1991,0.7179105
Tampons,01/05/1991,0.8515126
Tampons,01/06/1991,0.8674627
Bread,01/06/1991,0.7277941
Eggs,01/06/1991,1.021986
Toothpaste,01/06/1991,0.6471429
Tampons,01/07/1991,0.8741791
Eggs,01/07/1991,0.9788435
Bread,01/07/1991,0.7266667
Toothpaste,01/07/1991,0.6528472
Bread,01/08/1991,0.728599
Eggs,01/08/1991,0.9914094
Tampons,01/08/1991,0.8829927
Toothpaste,01/08/1991,0.6591781
Toothpaste,01/09/1991,0.6695625
Bread,01/09/1991,0.7175
Tampons,01/09/1991,0.8873249
Eggs,01/09/1991,0.9880379
Toothpaste,01/10/1991,0.6679618
Bread,01/10/1991,0.7330126
Eggs,01/10/1991,1.043743
Tampons,01/10/1991,0.8927922
Tampons,01/11/1991,0.9168831
Toothpaste,01/11/1991,0.6708434
Bread,01/11/1991,0.7293676
Eggs,01/11/1991,1.054365
Eggs,01/12/1991,1.109412
Bread,01/12/1991,0.7306667
Tampons,01/12/1991,0.9267284
Toothpaste,01/12/1991,0.6740237
Toothpaste,01/01/1992,0.6879333
Bread,01/01/1992,0.7489189
Tampons,01/01/1992,0.9366463
Eggs,01/01/1992,1.10743
Bread,01/02/1992,0.7658152
Tampons,01/02/1992,0.9233519
Eggs,01/02/1992,1.064173
Toothpaste,01/02/1992,0.6849707
Bread,01/03/1992,0.7529445
Toothpaste,01/03/1992,0.704142
Tampons,01/03/1992,0.9189081
Eggs,01/03/1992,1.05104
Bread,01/04/1992,0.7554749
Tampons,01/04/1992,0.9168367
Eggs,01/04/1992,1.028571
Toothpaste,01/04/1992,0.7067016
Toothpaste,01/05/1992,0.7068205
Bread,01/05/1992,0.7655249
Eggs,01/05/1992,1.025255
Tampons,01/05/1992,0.9224747
Eggs,01/06/1992,1.027872
