Item,Date,Price,
Eggs,01/03/1988,0.9934615,0.161485875
Tampons,01/03/1988,0.6100813,-0.201022388
Toothpaste,01/03/1988,0.45,1.155555556
Eggs,01/04/1988,1.009343,1.573449264
Tampons,01/04/1988,0.6125564,0.404060753
Toothpaste,01/04/1988,0.4540769,0.897843515
Eggs,01/05/1988,0.9965672,-1.281980784
Tampons,01/05/1988,0.6162308,0.596270099
Toothpaste,01/05/1988,0.4521774,-0.420078491
Eggs,01/06/1988,0.9699254,-2.746788567
Tampons,01/06/1988,0.6167188,0.079128446
Toothpaste,01/06/1988,0.4617829,2.080090016
Eggs,01/07/1988,0.9585937,-1.182117095
Tampons,01/07/1988,0.6215447,0.776436514
Toothpaste,01/07/1988,0.4645968,0.605664955
Eggs,01/09/1988,0.9477953,-1.139317741
Tampons,01/09/1988,0.63288,1.791066237
Toothpaste,01/09/1988,0.4683898,0.809795602
Eggs,01/10/1988,0.9469853,-0.085534591
Tampons,01/10/1988,0.6368217,0.618964461
Toothpaste,01/10/1988,0.4784496,2.10258301
Eggs,01/11/1988,0.9537795,0.712344939
Tampons,01/11/1988,0.6451145,1.285477229
Toothpaste,01/11/1988,0.4836641,1.07812426
Eggs,01/12/1988,0.9853846,3.207387248
Tampons,01/12/1988,0.6490511,0.60651619
Toothpaste,01/12/1988,0.485,0.275443299
Eggs,01/01/1989,0.98168,-0.377373482
Tampons,01/01/1989,0.64752,-0.236456017
Toothpaste,01/01/1989,0.490873,1.196439812
Eggs,01/03/1989,0.9350365,-4.988414891
Tampons,01/03/1989,0.6577372,1.553386368
Toothpaste,01/03/1989,0.5018321,2.183818054
Eggs,01/04/1989,0.9358646,0.088485022
Eggs,01/05/1989,0.9465854,1.132576099
Tampons,01/05/1989,0.6789843,3.129247613
Toothpaste,01/05/1989,0.5142063,2.406466043
Eggs,01/06/1989,0.9482645,0.177070849
Tampons,01/06/1989,0.6866412,1.115123881
Toothpaste,01/06/1989,0.5208271,1.271208814
Eggs,01/07/1989,0.9506299,0.24882449
Tampons,01/07/1989,0.6860448,-0.086933098
Toothpaste,01/07/1989,0.5196063,-0.234947113
Eggs,01/08/1989,1.873388,49.25611246
Tampons,01/08/1989,0.6877953,0.254508863
Toothpaste,01/08/1989,0.5254762,1.117062961
Eggs,01/09/1989,0.9921774,-88.81583072
Tampons,01/09/1989,0.6921212,0.625020589
Toothpaste,01/09/1989,0.5332258,1.45334303
Eggs,01/10/1989,1.053089,5.784088524
Tampons,01/10/1989,0.6922835,0.023444153
Toothpaste,01/10/1989,0.5418487,1.591385197
Eggs,01/11/1989,1.0625,0.885741176
Tampons,01/11/1989,0.6948438,0.368471302
Toothpaste,01/11/1989,0.5540945,2.210056227
Eggs,01/12/1989,1.09336,2.822492134
Tampons,01/12/1989,0.6967442,0.272754334
Toothpaste,01/12/1989,0.5569672,0.515775435
Eggs,01/01/1990,1.107672,1.292079244
Tampons,01/01/1990,0.7009702,0.602878696
Toothpaste,01/01/1990,0.5646212,1.355599117
Eggs,01/02/1990,1.118194,0.940981619
Tampons,01/02/1990,0.7214286,2.835817709
Toothpaste,01/02/1990,0.5666423,0.356680043
Eggs,01/03/1990,1.093028,-2.302411283
Tampons,01/03/1990,0.7310792,1.320048498
Toothpaste,01/03/1990,0.5754412,1.529070216
Eggs,01/04/1990,1.121275,2.519185748
Tampons,01/04/1990,0.7416058,1.419433343
Toothpaste,01/04/1990,0.5759091,0.08124546
Eggs,01/05/1990,1.0916,-2.718486625
Tampons,01/05/1990,0.7427008,0.147434876
Toothpaste,01/05/1990,0.5785821,0.461991479
Eggs,01/06/1990,1.099346,0.704600735
Tampons,01/06/1990,0.7429578,0.034591467
Toothpaste,01/06/1990,0.5852518,1.139629131
Eggs,01/07/1990,1.096299,-0.277935125
Tampons,01/07/1990,0.7413334,-0.219118685
Toothpaste,01/07/1990,0.590813,0.94127922
Eggs,01/08/1990,1.090833,-0.501084951
Tampons,01/08/1990,0.7453623,0.540529082
Toothpaste,01/08/1990,0.6055639,2.435894874
Eggs,01/09/1990,1.053385,-3.555015498
Tampons,01/09/1990,0.7692029,3.099390291
Toothpaste,01/09/1990,0.6061481,0.096379086
Eggs,01/10/1990,1.056172,0.263877475
Tampons,01/10/1990,0.7740151,0.621719137
Toothpaste,01/10/1990,0.6142969,1.326524682
Eggs,01/11/1990,1.01338,-4.22270027
Tampons,01/11/1990,0.7793571,0.685436753
Toothpaste,01/11/1990,0.6293525,2.392236465
Eggs,01/12/1990,1.057556,4.177178324
Tampons,01/12/1990,0.7889474,1.215581672
Toothpaste,01/12/1990,0.6304444,0.173195289
Eggs,01/01/1991,1.062342,0.450514053
Tampons,01/01/1991,0.7850847,-0.492010607
Toothpaste,01/01/1991,0.6377049,1.138536022
Eggs,01/02/1991,1.045926,-1.569518302
Tampons,01/02/1991,0.7944882,1.183592154
Toothpaste,01/02/1991,0.6258209,-1.898945849
Eggs,01/03/1991,1.073217,2.542915366
Tampons,01/03/1991,0.7936111,-0.110520128
Toothpaste,01/03/1991,0.6306944,0.77271972
Eggs,01/04/1991,1.024792,-4.725349144
Tampons,01/04/1991,0.8156,2.696039725
Toothpaste,01/04/1991,0.6428788,1.895287261
Eggs,01/05/1991,1.043007,1.746392881
Tampons,01/05/1991,0.8515126,4.217506588
Toothpaste,01/05/1991,0.6441732,0.200939747
Eggs,01/06/1991,1.021986,-2.056877491
Tampons,01/06/1991,0.8674627,1.838707301
Toothpaste,01/06/1991,0.6471429,0.458894009
Eggs,01/07/1991,0.9788435,-4.407497215
Tampons,01/07/1991,0.8741791,0.768309377
Toothpaste,01/07/1991,0.6528472,0.87375729
Eggs,01/08/1991,0.9914094,1.2674784
Tampons,01/08/1991,0.8829927,0.998150947
Toothpaste,01/08/1991,0.6591781,0.960423291
Eggs,01/09/1991,0.9880379,-0.34123185
Tampons,01/09/1991,0.8873249,0.488231537
Toothpaste,01/09/1991,0.6695625,1.550923177
Eggs,01/10/1991,1.043743,5.337051362
Tampons,01/10/1991,0.8927922,0.612382142
Toothpaste,01/10/1991,0.6679618,-0.239639452
Eggs,01/11/1991,1.054365,1.007431013
Tampons,01/11/1991,0.9168831,2.62747781
Toothpaste,01/11/1991,0.6708434,0.429548834
Eggs,01/12/1991,1.109412,4.961817611
Tampons,01/12/1991,0.9267284,1.062371672
Toothpaste,01/12/1991,0.6740237,0.471838008
Eggs,01/01/1992,1.10743,-0.178972937
Tampons,01/01/1992,0.9366463,1.058873558
Toothpaste,01/01/1992,0.6879333,2.021940208
Eggs,01/02/1992,1.064173,-4.064846599
Tampons,01/02/1992,0.9233519,-1.439797763
Toothpaste,01/02/1992,0.6849707,-0.432514851
Eggs,01/03/1992,1.05104,-1.249524281
Tampons,01/03/1992,0.9189081,-0.483595694
Toothpaste,01/03/1992,0.704142,2.722646852
Eggs,01/04/1992,1.028571,-2.184487021
Tampons,01/04/1992,0.9168367,-0.225929001
Toothpaste,01/04/1992,0.7067016,0.362189643
Eggs,01/05/1992,1.025255,-0.323431732
Tampons,01/05/1992,0.9224747,0.611182074
Toothpaste,01/05/1992,0.7068205,0.01682181
Eggs,01/06/1992,1.027872,0.254603686
Tampons,01/06/1992,0.9244737,0.216231138
Toothpaste,01/06/1992,0.7035859,-0.459730646
Eggs,01/07/1992,1.024571,-0.322183626
Tampons,01/07/1992,0.8917647,-3.667895803
Toothpaste,01/07/1992,0.7195263,2.215401994
Eggs,01/08/1992,1.013571,-1.085271777
Tampons,01/08/1992,0.8982609,0.723197459
Toothpaste,01/08/1992,0.7208718,0.186648999
Eggs,01/09/1992,0.9843478,-2.968788065
Tampons,01/09/1992,0.8871276,-1.254982936
Toothpaste,01/09/1992,0.7216667,0.110147801
Eggs,01/10/1992,1.037569,5.12941308
Tampons,01/10/1992,0.9009551,1.534760167
Toothpaste,01/10/1992,0.7197436,-0.267192372
Eggs,01/11/1992,1.018881,-1.834169054
Tampons,01/11/1992,0.8991429,-0.201547496
Toothpaste,01/11/1992,0.7217677,0.280436489
