Item,Date,Price,Percentage Change 
Butter,01/01/2014,2.807031,-0.704240258
Car Repair,01/01/2014,97.79128,-0.590901356
Dog Food,01/01/2014,0.6097177,-0.581974248
Eggs,01/01/2014,2.844511,0.31745351
Kitchen Roll,01/01/2014,1.74072,-2.103325061
Mascara,01/01/2014,7.647563,-1.116447161
Soap,01/01/2014,1.446211,3.834087834
Tampons,01/01/2014,2.064153,-3.730973431
Toothpaste,01/01/2014,1.809071,3.589964131
Butter,01/02/2014,3.077149,-9.62290762
Car Repair,01/02/2014,98.14587,0.361288763
Dog Food,01/02/2014,0.6025403,-1.191190033
Eggs,01/02/2014,2.838828,-0.200188247
Kitchen Roll,01/02/2014,1.712137,-1.669434163
Mascara,01/02/2014,7.78016,1.70429657
Soap,01/02/2014,1.499865,3.577255286
Tampons,01/02/2014,2.057033,-0.346129595
Toothpaste,01/02/2014,1.863206,2.90547583
Butter,01/03/2014,3.035537,1.352290708
Car Repair,01/03/2014,98.49355,0.352997734
Dog Food,01/03/2014,0.6076326,0.838055759
Eggs,01/03/2014,2.792636,-1.654064475
Kitchen Roll,01/03/2014,1.736045,1.377153242
Mascara,01/03/2014,7.6904,-1.167169458
Soap,01/03/2014,1.417545,-5.807223051
Tampons,01/03/2014,2.070691,0.659586582
Toothpaste,01/03/2014,1.709172,-9.012200059
Butter,01/04/2014,2.989739,1.50872811
Car Repair,01/04/2014,98.63056,0.138912321
Dog Food,01/04/2014,0.6082186,0.096346938
Eggs,01/04/2014,2.683033,-4.085041071
Kitchen Roll,01/04/2014,1.791985,3.121677916
Mascara,01/04/2014,7.651752,-0.50508694
Soap,01/04/2014,1.430444,0.901747989
Tampons,01/04/2014,2.031745,-1.916874411
Toothpaste,01/04/2014,1.782308,4.1034434
Butter,01/05/2014,2.990129,-0.013044617
Car Repair,01/05/2014,98.87991,0.252174582
Dog Food,01/05/2014,0.6076923,-0.08660633
Eggs,01/05/2014,2.510726,-6.86283569
Kitchen Roll,01/05/2014,1.757612,-1.955664845
Mascara,01/05/2014,7.830937,2.28816807
Soap,01/05/2014,1.480513,3.381868312
Tampons,01/05/2014,1.99744,-1.717448334
Toothpaste,01/05/2014,1.767786,-0.821479523
