Item,Date,Price
Butter,01/03/2013,2.693421
Butter,01/04/2013,2.836916
Butter,01/05/2013,2.77136
Butter,01/06/2013,2.801044
Butter,01/07/2013,2.716201
Butter,01/08/2013,2.80587
Butter,01/09/2013,2.812217
Butter,01/10/2013,2.840727
Butter,01/11/2013,2.744846
Butter,01/12/2013,2.787401
Butter,01/01/2014,2.807031
Butter,01/02/2014,3.077149
Butter,01/03/2014,3.035537
Butter,01/04/2014,2.989739
Butter,01/05/2014,2.990129
Butter,01/06/2014,3.048485
Butter,01/07/2014,3.013462
Butter,01/08/2014,3.008
Butter,01/09/2014,2.964596
Butter,01/10/2014,3.036352
Butter,01/11/2014,2.950213
Butter,01/12/2014,3.042936
Butter,01/01/2015,2.901515
Butter,01/02/2015,2.94177
Butter,01/03/2015,2.845065
Butter,01/04/2015,2.94308
Butter,01/05/2015,3.098067
Butter,01/06/2015,2.946907
Butter,01/07/2015,2.882059
Butter,01/08/2015,2.948517
Butter,01/09/2015,3.004477
Butter,01/10/2015,2.717215
Butter,01/11/2015,3.012134
Butter,01/12/2015,2.990917
Butter,01/01/2016,2.821102
Butter,01/02/2016,2.910388
Butter,01/03/2016,2.795823
Butter,01/04/2016,2.868833
Butter,01/05/2016,2.865504
Butter,01/06/2016,2.761949
Butter,01/07/2016,2.786176
Butter,01/08/2016,2.742255
Butter,01/09/2016,2.706667
Butter,01/10/2016,2.703554
Butter,01/11/2016,2.782857
Butter,01/12/2016,2.838861
Butter,01/01/2017,2.916219
Butter,01/02/2017,2.83105
Butter,01/03/2017,2.821297
Butter,01/04/2017,2.762645
Butter,01/05/2017,2.782025
Butter,01/06/2017,2.843652
Butter,01/07/2017,2.784792
Butter,01/08/2017,2.840042
Butter,01/09/2017,3.005063
Butter,01/10/2017,3.129198
Butter,01/11/2017,3.24614
Butter,01/12/2017,3.252218
Butter,01/01/2018,3.123708
Butter,01/02/2018,3.154635
Butter,01/03/2018,3.14789
Butter,01/04/2018,3.095353
Butter,01/05/2018,3.237721
Butter,01/06/2018,3.101289
Butter,01/07/2018,3.286581
Butter,01/08/2018,3.278983
Butter,01/09/2018,3.188383
Butter,01/10/2018,3.247269
Butter,01/11/2018,3.064788
Butter,01/12/2018,3.285485
Butter,01/01/2019,3.287004
Butter,01/02/2019,3.332511
Butter,01/03/2019,3.177542
Butter,01/04/2019,3.196008
Butter,01/05/2019,3.14963
Butter,01/06/2019,3.257689
Butter,01/07/2019,3.220372
Butter,01/08/2019,3.07107
Butter,01/09/2019,3.107254
Butter,01/10/2019,3.181736
Butter,01/11/2019,3.082963
Butter,01/12/2019,3.168755
Butter,01/01/2020,3.060954
Butter,01/02/2020,3.062083
Butter,01/03/2020,3.155642
Butter,01/04/2020,3.282512
Butter,01/05/2020,3.239087
Butter,01/06/2020,3.077342
Butter,01/07/2020,3.210536
Butter,01/08/2020,3.043991
Butter,01/09/2020,3.115216
Butter,01/10/2020,3.013448
Butter,01/11/2020,2.804451
Butter,01/12/2020,3.052275
Butter,01/01/2021,3.149417
Butter,01/02/2021,3.114783
Butter,01/03/2021,3.270794
Butter,01/04/2021,3.105117
Butter,01/05/2021,3.193598
Butter,01/06/2021,3.087009
Butter,01/07/2021,3.098553
Butter,01/08/2021,3.043485
Butter,01/09/2021,3.103787
Butter,01/10/2021,3.197203
Butter,01/11/2021,3.236638
Butter,01/12/2021,3.286428
Butter,01/01/2022,3.219542
Butter,01/02/2022,3.217702
Butter,01/03/2022,3.530458
Butter,01/04/2022,3.42376
Butter,01/05/2022,3.536597
Butter,01/06/2022,3.818889
Butter,01/07/2022,3.99144
Butter,01/08/2022,3.979247
Butter,01/09/2022,3.950531
Butter,01/10/2022,4.037676
Butter,01/11/2022,4.02038
