Date,Carpenter,Wood,,,,,
01/02/2011,27.1317,14.65407,,,,,
01/03/2011,26.43561,14.68799,,,,,
01/04/2011,26.45262,14.81489,,,,,
01/05/2011,26.37282,15.06741,,,,,
01/06/2011,26.32488,15.68724,,,,,
01/07/2011,26.36348,16.1961,,,,,
01/08/2011,25.0419,16.25031,,,,,
01/09/2011,25.01191,16.65238,,,,,
01/10/2011,25.25547,16.59407,,,,,
01/11/2011,25.21797,16.85239,,,,,
01/12/2011,25.34687,16.99735,,,,,
01/01/2012,25.34479,17.05052,,,,,
01/02/2012,25.36374,17.58978,,,,,
01/03/2012,25.37239,17.54257,,,,,
01/04/2012,25.38712,17.50331,,,,,
01/05/2012,25.32037,17.4565,,,,,
01/06/2012,25.38774,17.43518,,,,,
01/07/2012,25.30159,17.59935,,,,,
01/08/2012,24.87452,17.43246,,,,,
01/09/2012,24.90292,17.40623,,,,,
01/10/2012,24.96111,17.65345,,,,,
01/11/2012,24.9224,17.75374,,,,,
01/12/2012,24.84448,17.61507,,,,,
01/01/2013,24.825,17.49714,,,,,
01/02/2013,24.825,17.3935,,,,,
01/03/2013,24.825,17.46748,,,,,
01/04/2013,24.71654,18.19277,,,,,
01/05/2013,24.70869,18.20007,,,,,
01/06/2013,24.7673,18.44986,,,,,
01/07/2013,24.9798,18.50557,,,,,
01/08/2013,25.18458,18.67863,,,,,
01/09/2013,25.2057,18.85821,,,,,
01/10/2013,25.12064,17.87536,,,,,
01/11/2013,25.06014,17.69676,,,,,
01/12/2013,25.06014,17.67171,,,,,
01/01/2014,25.06734,17.84908,,,,,
01/02/2014,25.06604,17.73466,,,,,
01/03/2014,25.06245,17.99793,,,,,
01/04/2014,25.06245,17.86809,,,,,
01/05/2014,25.10058,18.04901,,,,,
01/06/2014,25.11299,18.11417,,,,,
01/07/2014,25.17779,18.55986,,,,,
01/08/2014,25.23662,18.5559,,,,,
01/09/2014,25.22441,18.13649,,,,,
01/10/2014,25.22441,18.2691,,,,,
01/11/2014,25.22441,18.58856,,,,,
01/12/2014,25.26118,18.51979,,,,,
01/01/2015,25.27,18.60469,,,,,
01/02/2015,25.24237,18.7681,,,,,
01/03/2015,25.24237,18.84403,,,,,
01/04/2015,25.29867,18.62919,,,,,
01/05/2015,25.30607,18.73614,,,,,
01/06/2015,25.31533,18.63678,,,,,
01/07/2015,25.35607,18.70133,,,,,
01/08/2015,25.38496,18.82764,,,,,
01/09/2015,25.39978,17.71168,,,,,
01/10/2015,25.43187,18.59538,,,,,
01/11/2015,25.62977,18.5969,,,,,
01/12/2015,25.68746,18.71206,,,,,
01/01/2016,25.68746,18.75743,,,,,
01/02/2016,25.78746,18.7848,,,,,
01/03/2016,25.81554,18.82126,,,,,
01/04/2016,25.82515,18.89542,,,,,
