Item,Date,Mean
Cheddar,01/02/1988,2.897962
Cheddar,01/03/1988,2.965439
Cheddar,01/04/1988,2.986767
Cheddar,01/05/1988,3.00914
Cheddar,01/06/1988,3.02297
Cheddar,01/07/1988,3.060531
Cheddar,01/09/1988,3.095492
Cheddar,01/10/1988,3.135613
Cheddar,01/11/1988,3.138618
Cheddar,01/12/1988,3.181235
Cheddar,01/01/1989,3.160497
Cheddar,01/03/1989,3.198183
Cheddar,01/04/1989,3.233806
Cheddar,01/05/1989,3.210826
Cheddar,01/06/1989,3.19393
Cheddar,01/07/1989,3.223816
Cheddar,01/08/1989,3.278008
Cheddar,01/09/1989,3.305757
Cheddar,01/10/1989,3.320781
Cheddar,01/11/1989,3.385729
Cheddar,01/12/1989,3.399637
Cheddar,01/01/1990,3.386764
Cheddar,01/02/1990,3.443197
Milk,01/02/1990,0.9698413
Cheddar,01/03/1990,3.486956
Milk,01/03/1990,0.9882759
Milk,01/04/1990,0.9708667
Cheddar,01/04/1990,3.398474
Cheddar,01/05/1990,3.48038
Milk,01/05/1990,0.9928481
Cheddar,01/06/1990,3.494167
Milk,01/06/1990,0.9894969
Milk,01/07/1990,0.9855769
Cheddar,01/07/1990,3.490298
Cheddar,01/08/1990,3.477844
Milk,01/08/1990,0.9868125
Cheddar,01/09/1990,3.509843
Milk,01/09/1990,0.9612122
Milk,01/10/1990,0.9993023
Cheddar,01/10/1990,3.45317
Milk,01/11/1990,1.030575
Cheddar,01/11/1990,3.513234
Cheddar,01/12/1990,3.509987
Milk,01/12/1990,1.047101
Milk,01/01/1991,1.070124
Cheddar,01/01/1991,3.516483
Milk,01/02/1991,1.076811
Cheddar,01/02/1991,3.503151
Cheddar,01/03/1991,3.505636
Milk,01/03/1991,1.075078
Milk,01/04/1991,1.077464
Cheddar,01/04/1991,3.522482
Milk,01/05/1991,1.08022
Cheddar,01/05/1991,3.558649
Milk,01/06/1991,1.078325
Cheddar,01/06/1991,3.604799
Milk,01/07/1991,1.074455
Cheddar,01/07/1991,3.573698
Cheddar,01/08/1991,3.582366
Milk,01/08/1991,1.07177
Cheddar,01/09/1991,3.601416
Milk,01/09/1991,1.078707
Milk,01/10/1991,1.077791
Cheddar,01/10/1991,3.623428
Cheddar,01/11/1991,3.643486
Milk,01/11/1991,1.07619
Milk,01/12/1991,1.071
Cheddar,01/12/1991,3.69008
Cheddar,01/01/1992,3.760582
Milk,01/01/1992,1.066951
Cheddar,01/02/1992,3.712818
Milk,01/02/1992,1.061778
Cheddar,01/03/1992,3.813993
Milk,01/03/1992,1.04924
Milk,01/04/1992,1.060565
Cheddar,01/04/1992,3.845276
Milk,01/05/1992,1.056705
Cheddar,01/05/1992,3.919146
Milk,01/06/1992,1.068276
Cheddar,01/06/1992,3.969155
Milk,01/07/1992,1.084503
Cheddar,01/07/1992,3.950583
Milk,01/08/1992,1.075389
Cheddar,01/08/1992,3.973348
Cheddar,01/09/1992,3.98497
Milk,01/09/1992,1.078066
Milk,01/10/1992,1.064194
Cheddar,01/10/1992,3.943258
