Date,Milk,Cheddar,Cream,Ice Cream,Yoghurt
01/02/2009,1.500758,7.899286,0.9175781,2.105,0.4906195
01/03/2009,1.500094,7.993577,0.9262308,2.29184,0.4881102
01/04/2009,1.501415,7.970719,0.8806299,2.180086,0.4858915
01/05/2009,1.521179,7.987778,0.9178333,2.364595,0.4920492
01/06/2009,1.502641,7.920368,0.8981513,2.104825,0.4911905
01/07/2009,1.521571,7.923284,0.9014754,2.196098,0.495969
01/08/2009,1.518972,7.878939,0.8847727,2.224516,0.498
01/09/2009,1.496215,7.843333,0.8647619,2.259835,0.4960902
01/10/2009,1.495164,7.87559,0.8798473,2.297539,0.4908265
01/11/2009,1.496132,7.801037,0.9075373,2.220333,0.4952846
01/12/2009,1.498744,7.841087,0.9090083,2.096667,0.5069231
01/01/2010,1.473077,7.898217,0.9081955,2.232109,0.506
01/02/2010,1.475364,7.83377,0.8973438,2.216549,0.5064912
01/03/2010,1.494454,7.825333,0.8919847,2.155124,0.4992437
01/04/2010,1.482594,7.746565,0.8992754,2.20232,0.4932
01/05/2010,1.476793,7.758077,0.9016547,2.190342,0.49368
01/06/2010,1.479121,7.705597,0.899,2.197955,0.4953125
01/07/2010,1.463207,7.719365,0.9252632,2.151791,0.5080451
01/08/2010,1.44084,7.645426,0.9767883,2.237591,0.5110714
01/09/2010,1.423648,7.782612,0.9693334,2.264809,0.5043939
01/10/2010,1.33887,7.841791,0.9696268,2.229127,0.5232331
01/11/2010,1.347089,7.772791,0.9797059,2.28155,0.55048
01/12/2010,1.454364,8.021428,0.9803788,2.14554,0.5611364
01/01/2011,1.489247,8.007665,0.9758088,2.242045,0.5546154
01/02/2011,1.362469,7.829609,0.9694697,2.447742,0.5506977
01/03/2011,1.303422,7.805489,0.944697,2.386667,0.5493233
01/04/2011,1.305958,7.804286,0.9508889,2.39808,0.5639695
01/05/2011,1.301807,7.695615,0.9257143,2.44232,0.5621875
01/06/2011,1.440833,7.802558,0.9435971,2.405368,0.5500793
01/07/2011,1.41825,7.905224,0.9765413,2.352794,0.5557724
01/08/2011,1.418347,8.12518,1.09,2.361176,0.5581818
01/09/2011,1.417178,8.133985,1.090896,2.519237,0.5548889
01/10/2011,1.296176,7.84129,1.057206,2.690161,0.5598518
01/11/2011,1.285062,8.084015,0.9926241,2.57568,0.5555147
01/12/2011,1.283512,8.171305,1.063972,2.60816,0.5796323
01/01/2012,1.237137,8.148602,1.091799,2.728485,0.5734587
01/02/2012,1.235504,8.124094,1.087252,2.537868,0.5681396
01/03/2012,1.230833,8.094924,1.086619,2.588296,0.5807857
01/04/2012,1.213625,8.141544,1.045524,2.57,0.5732558
01/05/2012,1.23025,7.966917,1.030648,2.512045,0.5741667
01/06/2012,1.212083,8.145217,1.001719,2.434773,0.5851799
01/07/2012,1.205875,8.163823,1.030984,2.461791,0.5823913
01/08/2012,1.188203,8.151232,1.048571,2.383262,0.5918978
01/09/2012,1.173693,8.233929,1.050741,2.604084,0.5883688
01/10/2012,1.187089,8.29,1.047154,2.633769,0.5915
01/11/2012,1.193542,8.246,1.042014,2.783969,0.5581818
01/12/2012,1.269038,8.130075,1.068571,2.573796,0.5875352
01/01/2013,1.275062,8.225928,1.090797,2.751533,0.5965734
01/02/2013,1.282017,8.131053,1.096194,2.521692,0.5967626
01/03/2013,1.275165,8.178849,1.071679,2.559403,0.601773
01/04/2013,1.279585,8.211479,1.1,2.614702,0.6031159
01/05/2013,1.281,7.9825,1.098058,2.434511,0.6068571
01/06/2013,1.281157,7.993577,1.095188,2.280602,0.6070073
01/07/2013,1.289916,8.098286,1.046357,2.525373,0.616087
01/08/2013,1.3245,8.219575,1.11365,2.605643,0.6008695
