Date,Cheddar
01/02/1990,3.443197
01/03/1990,3.486956
01/04/1990,3.398474
01/05/1990,3.48038
01/06/1990,3.494167
01/07/1990,3.490298
01/08/1990,3.477844
01/09/1990,3.509843
01/10/1990,3.45317
01/11/1990,3.513234
01/12/1990,3.509987
01/01/1991,3.516483
01/02/1991,3.503151
01/03/1991,3.505636
01/04/1991,3.522482
01/05/1991,3.558649
01/06/1991,3.604799
01/07/1991,3.573698
01/08/1991,3.582366
01/09/1991,3.601416
01/10/1991,3.623428
01/11/1991,3.643486
01/12/1991,3.69008
01/01/1992,3.760582
01/02/1992,3.712818
01/03/1992,3.813993
01/04/1992,3.845276
01/05/1992,3.919146
01/06/1992,3.969155
01/07/1992,3.950583
01/08/1992,3.973348
01/09/1992,3.98497
01/10/1992,3.943258
01/11/1992,4.011716
01/12/1992,3.981919
01/01/1993,3.978219
01/02/1993,4.068316
01/03/1993,4.15191
01/04/1993,4.198754
01/05/1993,4.234068
01/06/1993,4.255494
01/07/1993,4.311917
01/08/1993,4.286444
01/09/1993,4.299348
01/10/1993,4.29607
01/11/1993,4.292867
01/12/1993,4.240182
01/01/1994,4.302299
01/02/1994,4.323811
01/03/1994,4.299574
01/04/1994,4.320939
01/05/1994,4.337166
01/06/1994,4.331344
01/07/1994,4.295212
01/08/1994,4.304343
01/09/1994,4.281765
01/10/1994,4.249488
01/11/1994,4.33714
01/12/1994,4.310618
01/01/1995,4.388923
01/02/1995,4.60336
01/03/1995,4.620994
01/04/1995,4.546428
01/05/1995,4.549554
01/06/1995,4.675828
01/07/1995,4.700504
01/08/1995,4.670764
01/09/1995,4.639308
01/10/1995,4.792744
01/11/1995,4.775666
01/12/1995,4.817193
01/01/1996,4.880728
01/02/1996,4.677812
01/03/1996,4.784324
01/04/1996,4.876447
01/05/1996,4.926165
01/06/1996,4.871849
01/07/1996,4.903991
01/08/1996,5.046685
01/09/1996,5.039558
01/10/1996,5.004364
01/11/1996,5.13
01/12/1996,5.098148
01/01/1997,5.121437
01/02/1997,5.131772
01/03/1997,5.239722
01/04/1997,5.243895
01/05/1997,5.311173
01/06/1997,5.359667
01/07/1997,5.34324
01/08/1997,5.415
01/09/1997,5.417923
01/10/1997,5.410555
01/11/1997,5.361858
01/12/1997,5.369668
01/01/1998,5.338743
01/02/1998,5.32298
01/03/1998,5.300201
01/04/1998,5.21482
01/05/1998,5.16338
01/06/1998,5.219084
01/07/1998,5.342756
01/08/1998,5.355621
01/09/1998,5.356667
01/10/1998,5.349743
01/11/1998,5.315949
01/12/1998,5.165287
01/01/1999,5.304488
01/02/1999,5.199726
01/03/1999,5.276601
01/04/1999,5.298766
01/05/1999,5.287947
01/06/1999,5.36808
01/07/1999,5.127956
01/08/1999,5.279226
01/09/1999,5.233493
01/10/1999,5.228207
01/11/1999,5.147297
01/12/1999,5.219
01/01/2000,5.209865
01/02/2000,5.176043
01/03/2000,5.273035
01/04/2000,5.257071
01/05/2000,5.135214
01/06/2000,5.176805
01/07/2000,5.064546
01/08/2000,5.163857
01/09/2000,5.088675
01/10/2000,5.068446
01/11/2000,5.053517
01/12/2000,5.074694
01/01/2001,5.149197
01/02/2001,5.130515
01/03/2001,5.130072
01/04/2001,5.082958
01/05/2001,5.263776
01/06/2001,5.221575
01/07/2001,5.270896
01/08/2001,5.376733
01/09/2001,5.316781
01/10/2001,5.366757
01/11/2001,5.414558
01/12/2001,5.327222
01/01/2002,5.360604
01/02/2002,5.531678
