Date,Milk
01/02/1990,0.9698413
01/03/1990,0.9882759
01/04/1990,0.9708667
01/05/1990,0.9928481
01/06/1990,0.9894969
01/07/1990,0.9855769
01/08/1990,0.9868125
01/09/1990,0.9612122
01/10/1990,0.9993023
01/11/1990,1.030575
01/12/1990,1.047101
01/01/1991,1.070124
01/02/1991,1.076811
01/03/1991,1.075078
01/04/1991,1.077464
01/05/1991,1.08022
01/06/1991,1.078325
01/07/1991,1.074455
01/08/1991,1.07177
01/09/1991,1.078707
01/10/1991,1.077791
01/11/1991,1.07619
01/12/1991,1.071
01/01/1992,1.066951
01/02/1992,1.061778
01/03/1992,1.04924
01/04/1992,1.060565
01/05/1992,1.056705
01/06/1992,1.068276
01/07/1992,1.084503
01/08/1992,1.075389
01/09/1992,1.078066
01/10/1992,1.064194
01/11/1992,1.031351
01/12/1992,1.021429
01/01/1993,1.011027
01/02/1993,1.004764
01/03/1993,0.9902674
01/04/1993,0.9797354
01/05/1993,0.9775916
01/06/1993,0.9830688
01/07/1993,0.9936316
01/08/1993,0.9834536
01/09/1993,0.9697436
01/10/1993,0.9373575
01/11/1993,0.9107614
01/12/1993,0.9026396
01/01/1994,0.9005051
01/02/1994,0.8964974
01/03/1994,0.9136649
01/04/1994,0.9085492
01/05/1994,0.9021905
01/06/1994,0.8944811
01/07/1994,0.8859813
01/08/1994,0.8827604
01/09/1994,0.8824883
01/10/1994,0.8663366
01/11/1994,0.908972
01/12/1994,0.9135714
01/01/1995,0.912783
01/02/1995,0.9218396
01/03/1995,0.9222535
01/04/1995,0.9215024
01/05/1995,0.9224883
01/06/1995,0.9231604
01/07/1995,0.9193427
01/08/1995,0.916934
01/09/1995,0.9080095
01/10/1995,0.9021043
01/11/1995,0.8975668
01/12/1995,0.9102617
01/01/1996,0.9087018
01/02/1996,0.9067633
01/03/1996,0.9638679
01/04/1996,0.9533491
01/05/1996,0.9510798
01/06/1996,0.9521182
01/07/1996,0.9647442
01/08/1996,0.9493296
01/09/1996,0.9459459
01/10/1996,0.943172
01/11/1996,0.9430054
01/12/1996,0.9417112
01/01/1997,0.9374864
01/02/1997,0.9425555
01/03/1997,0.9083957
01/04/1997,0.894945
01/05/1997,0.8933702
01/06/1997,0.9038503
01/07/1997,0.8982514
01/08/1997,0.8962434
01/09/1997,0.8964706
01/10/1997,0.8949206
01/11/1997,0.8968254
01/12/1997,0.8980645
01/01/1998,0.8985561
01/02/1998,0.8948052
01/03/1998,0.9001923
01/04/1998,0.8955414
01/05/1998,0.906519
01/06/1998,0.9031013
01/07/1998,0.9057325
01/08/1998,0.9052287
01/09/1998,0.9046451
01/10/1998,0.9075159
01/11/1998,0.9113461
01/12/1998,0.9159235
01/01/1999,0.9159849
01/02/1999,0.9241667
01/03/1999,0.9230769
01/04/1999,0.9240385
01/05/1999,0.9259236
01/06/1999,0.9258228
01/07/1999,0.925414
01/08/1999,0.8989874
01/09/1999,0.8831169
01/10/1999,0.8801282
01/11/1999,0.8776923
01/12/1999,0.878258
01/01/2000,0.8843589
01/02/2000,0.8899351
01/03/2000,0.8869079
01/04/2000,0.8850994
01/05/2000,0.8854249
01/06/2000,0.8813245
01/07/2000,0.8839735
01/08/2000,0.8736842
01/09/2000,0.8759459
01/10/2000,0.8856953
01/11/2000,0.8780537
01/12/2000,0.8917568
01/01/2001,0.892649
01/02/2001,0.9330769
01/03/2001,0.934586
01/04/2001,0.9592857
01/05/2001,0.975871
01/06/2001,0.9796816
01/07/2001,0.9815924
01/08/2001,0.9841667
01/09/2001,0.9838064
01/10/2001,0.9792903
01/11/2001,0.9837107
01/12/2001,0.9839873
01/01/2002,0.9861438
01/02/2002,0.9988356
01/03/2002,0.995102
01/04/2002,0.9958823
01/05/2002,0.9980921
01/06/2002,0.9994805
01/07/2002,1.001419
01/08/2002,0.998129
01/09/2002,1.013203
01/10/2002,1.03
01/11/2002,1.034968
01/12/2002,1.032692
01/01/2003,1.035032
01/02/2003,1.028931
01/03/2003,1.027249
01/04/2003,1.031471
01/05/2003,1.018356
01/06/2003,1.015981
01/07/2003,1.059227
01/08/2003,1.058357
01/09/2003,1.060963
01/10/2003,1.060423
01/11/2003,1.059447
01/12/2003,1.06038
01/01/2004,1.060084
