Date,Butter,Car Repair,Dog Food,Kitchen Roll,Mascara,Toothpaste,Soap,Tampons
01/02/2019,3.332511,118.7278,0.7293981,1.839154,9.082486,1.738581,1.544664,1.962197
01/03/2019,3.177542,117.5951,0.7287879,1.878511,9.324869,1.624371,1.265753,2.030502
01/04/2019,3.196008,119.3277,0.7297021,1.901736,9.14665,1.638609,1.4729,1.961613
01/05/2019,3.14963,120.2042,0.7206097,1.857183,9.222425,1.671569,1.366736,1.965344
01/06/2019,3.257689,120.7591,0.7233603,1.903826,9.490406,1.664595,1.428917,1.977075
01/07/2019,3.220372,119.7438,0.7215638,1.965274,9.259303,1.712,1.35675,2.005059
01/08/2019,3.07107,119.7739,0.7244672,1.849712,9.231786,1.796391,1.500165,1.991032
01/09/2019,3.107254,118.6231,0.7318624,1.970224,9.111174,1.763968,1.387948,1.99896
01/10/2019,3.181736,119.0576,0.7209465,2.031797,9.379436,1.696301,1.362089,1.973911
01/11/2019,3.082963,118.4875,0.7279518,1.957591,9.564176,1.731795,1.454813,1.9776
01/12/2019,3.168755,118.3909,0.7368675,1.957293,9.298472,1.709388,1.407,2.030844
01/01/2020,3.060954,119.9201,0.7532018,1.916786,9.204344,1.673481,1.361883,2.047
01/02/2020,3.062083,120.9472,0.7587557,1.958623,9.054627,1.675454,1.359953,2.00952
01/03/2020,3.155642,119.1845,0.7668041,2.047949,9.105474,1.897438,1.504839,2.055487
01/04/2020,3.282512,118.4804,0.7137113,2.229655,9.680089,1.638067,1.424118,1.997248
01/05/2020,3.239087,118.5187,0.7011737,2.541463,9.874752,1.60625,1.449318,2.041565
01/06/2020,3.077342,118.1465,0.7225234,2.467222,9.494713,1.55432,1.575471,2.068362
01/07/2020,3.210536,120.9715,0.7252036,2.477863,9.58679,1.620507,1.614725,1.989313
01/08/2020,3.043991,117.4882,0.7402347,2.045345,9.052333,1.599225,1.549845,1.97925
01/09/2020,3.115216,117.0793,0.7319908,2.095126,9.320222,1.606181,1.493333,1.996598
01/10/2020,3.013448,117.7514,0.7245622,2.145492,9.312011,1.685753,1.536143,2.046914
01/11/2020,2.804451,117.6182,0.7140404,2.19697,9.954785,1.499412,1.437081,1.985273
01/12/2020,3.052275,118.7597,0.7216746,2.336133,10.15458,1.706911,1.310577,2.061956
01/01/2021,3.149417,123.8986,0.724574,2.207563,9.917044,1.762266,1.515556,2.080639
01/02/2021,3.114783,124.9233,0.7144749,2.298785,10.175,1.759084,1.621227,2.049957
01/03/2021,3.270794,124.093,0.7236406,2.229322,9.872023,1.662746,1.568165,2.100932
01/04/2021,3.105117,120.2203,0.720724,2.099924,9.653167,1.636597,1.535,2.092723
01/05/2021,3.193598,121.8227,0.7460101,2.145909,9.446319,1.786594,1.521564,2.097543
01/06/2021,3.087009,121.7145,0.7121459,2.113936,9.132445,1.604375,1.490602,2.080976
01/07/2021,3.098553,122.5726,0.7218672,2.158527,8.862127,1.760336,1.491266,2.119194
01/08/2021,3.043485,123.3,0.7472691,2.170079,8.61269,1.730541,1.479022,2.119714
01/09/2021,3.103787,120.762,0.7370661,2.25125,8.877363,1.667566,1.435153,2.077373
01/10/2021,3.197203,122.3643,0.7359825,2.339422,8.977806,1.737162,1.433795,2.09
01/11/2021,3.236638,122.6074,0.7700488,2.358254,8.88066,1.7936,1.516314,2.109309
01/12/2021,3.286428,122.8071,0.782844,2.37328,8.913609,1.835603,1.48087,2.185776
01/01/2022,3.219542,123.9778,0.7876214,2.437632,8.234503,1.79223,1.533629,2.126992
01/02/2022,3.217702,125.9551,0.8843779,2.442348,8.042967,1.851462,1.410093,2.067875
01/03/2022,3.530458,125.7458,0.9017431,2.53063,8.181732,1.847432,1.515956,2.140445
01/04/2022,3.42376,125.1458,0.9141393,2.57687,8.782337,1.989231,1.504511,2.276195
01/05/2022,3.536597,125.784,0.9547465,2.82913,8.797906,1.882185,1.448534,2.15816
01/06/2022,3.818889,127.8219,0.9323431,2.855161,8.992606,2.049806,1.512185,2.184524
01/07/2022,3.99144,130.0722,0.9855328,2.998688,8.818969,1.90281,1.500886,2.184659
01/08/2022,3.979247,130.2397,1.019711,3.027273,8.920585,1.890411,1.525336,2.198823
01/09/2022,3.950531,129.1658,1.01181,3.13982,9.069351,2.066759,1.442743,2.214545
01/10/2022,4.037676,130.4827,1.051974,3.336048,9.188827,1.996688,1.588423,2.23083
01/11/2022,4.02038,132.3282,1.068734,3.305892,9.033675,2.020753,1.520676,2.21813
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
