Date,Butter,Car Repair,Dog Food,Kitchen Roll,Mascara,Toothpaste,Soap,Tampons
01/01/2021,3.149417,123.8986,0.724574,2.207563,9.917044,1.762266,1.515556,2.080639
01/02/2021,3.114783,124.9233,0.7144749,2.298785,10.175,1.759084,1.621227,2.049957
01/03/2021,3.270794,124.093,0.7236406,2.229322,9.872023,1.662746,1.568165,2.100932
01/04/2021,3.105117,120.2203,0.720724,2.099924,9.653167,1.636597,1.535,2.092723
01/05/2021,3.193598,121.8227,0.7460101,2.145909,9.446319,1.786594,1.521564,2.097543
01/06/2021,3.087009,121.7145,0.7121459,2.113936,9.132445,1.604375,1.490602,2.080976
01/07/2021,3.098553,122.5726,0.7218672,2.158527,8.862127,1.760336,1.491266,2.119194
01/08/2021,3.043485,123.3,0.7472691,2.170079,8.61269,1.730541,1.479022,2.119714
01/09/2021,3.103787,120.762,0.7370661,2.25125,8.877363,1.667566,1.435153,2.077373
01/10/2021,3.197203,122.3643,0.7359825,2.339422,8.977806,1.737162,1.433795,2.09
01/11/2021,3.236638,122.6074,0.7700488,2.358254,8.88066,1.7936,1.516314,2.109309
01/12/2021,3.286428,122.8071,0.782844,2.37328,8.913609,1.835603,1.48087,2.185776
01/01/2022,3.219542,123.9778,0.7876214,2.437632,8.234503,1.79223,1.533629,2.126992
01/02/2022,3.217702,125.9551,0.8843779,2.442348,8.042967,1.851462,1.410093,2.067875
01/03/2022,3.530458,125.7458,0.9017431,2.53063,8.181732,1.847432,1.515956,2.140445
01/04/2022,3.42376,125.1458,0.9141393,2.57687,8.782337,1.989231,1.504511,2.276195
01/05/2022,3.536597,125.784,0.9547465,2.82913,8.797906,1.882185,1.448534,2.15816
01/06/2022,3.818889,127.8219,0.9323431,2.855161,8.992606,2.049806,1.512185,2.184524
01/07/2022,3.99144,130.0722,0.9855328,2.998688,8.818969,1.90281,1.500886,2.184659
01/08/2022,3.979247,130.2397,1.019711,3.027273,8.920585,1.890411,1.525336,2.198823
01/09/2022,3.950531,129.1658,1.01181,3.13982,9.069351,2.066759,1.442743,2.214545
01/10/2022,4.037676,130.4827,1.051974,3.336048,9.188827,1.996688,1.588423,2.23083
01/11/2022,4.02038,132.3282,1.068734,3.305892,9.033675,2.020753,1.520676,2.21813
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
