Date,Price,Item
01/01/2017,2.916219,Butter
01/01/2017,0.6245041,Dog Food
01/01/2017,2.092446,Eggs
01/01/2017,1.629929,Kitchen Roll
01/01/2017,1.346822,Soap
01/01/2017,1.971417,Tampons
01/01/2017,1.707067,Toothpaste
01/02/2017,2.83105,Butter
01/02/2017,0.6500966,Dog Food
01/02/2017,2.109111,Eggs
01/02/2017,1.598889,Kitchen Roll
01/02/2017,1.35625,Soap
01/02/2017,2.014915,Tampons
01/02/2017,1.683556,Toothpaste
01/03/2017,2.821297,Butter
01/03/2017,0.6493304,Dog Food
01/03/2017,2.104519,Eggs
01/03/2017,1.5975,Kitchen Roll
01/03/2017,1.252949,Soap
01/03/2017,2.01755,Tampons
01/03/2017,1.638355,Toothpaste
01/04/2017,2.762645,Butter
01/04/2017,0.6535135,Dog Food
01/04/2017,2.11203,Eggs
01/04/2017,1.640584,Kitchen Roll
01/04/2017,1.319068,Soap
01/04/2017,2.102941,Tampons
01/04/2017,1.626104,Toothpaste
01/05/2017,2.782025,Butter
01/05/2017,0.643149,Dog Food
01/05/2017,2.102344,Eggs
01/05/2017,1.531527,Kitchen Roll
01/05/2017,1.243,Soap
01/05/2017,2.032964,Tampons
01/05/2017,1.606026,Toothpaste
01/06/2017,2.843652,Butter
01/06/2017,0.6317695,Dog Food
01/06/2017,2.123008,Eggs
01/06/2017,1.603651,Kitchen Roll
01/06/2017,1.3175,Soap
01/06/2017,2.10582,Tampons
01/06/2017,1.647039,Toothpaste
01/07/2017,2.784792,Butter
01/07/2017,0.6369396,Dog Food
01/07/2017,2.090672,Eggs
01/07/2017,1.486139,Kitchen Roll
01/07/2017,1.277155,Soap
01/07/2017,2.098889,Tampons
01/07/2017,1.541655,Toothpaste
01/08/2017,2.840042,Butter
01/08/2017,0.6473611,Dog Food
01/08/2017,2.087259,Eggs
01/08/2017,1.542157,Kitchen Roll
01/08/2017,1.268502,Soap
01/08/2017,1.98772,Tampons
01/08/2017,1.601053,Toothpaste
